2011 super output area - lower layer,mnemonic,All categories: Accommodation type,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In commercial building",Unshared dwelling: Caravan or other mobile or temporary structure
Haringey 007C,E01002102,752,25,111,123,141,301,25,1
Haringey 007D,E01002105,861,29,46,167,275,249,27,1
Haringey 008A,E01002099,813,33,44,133,564,32,1,1
Haringey 008B,E01002100,680,37,70,236,236,76,21,1
Haringey 008C,E01002103,646,47,85,298,152,47,13,0
Haringey 008D,E01002104,501,37,77,287,53,45,2,0
Haringey 009A,E01001963,691,20,137,266,47,190,18,0
Haringey 009B,E01001964,667,18,79,140,125,281,20,0
Haringey 009C,E01001965,657,7,47,297,156,147,3,0
Haringey 009D,E01001966,535,52,161,157,74,75,6,1
Haringey 010A,E01002027,552,33,41,326,51,101,0,0
Haringey 010B,E01002028,645,42,58,376,48,97,23,0
Haringey 010C,E01002032,759,36,67,291,204,148,6,0
Haringey 010D,E01002033,709,60,67,408,77,90,1,0
Haringey 011A,E01001976,635,43,51,189,93,242,1,0
Haringey 011B,E01001977,605,23,48,148,144,216,5,1
Haringey 011C,E01001978,819,27,42,167,366,173,18,2
Haringey 011D,E01001979,846,38,53,236,335,113,55,2
Haringey 012A,E01002074,849,44,77,153,446,100,23,0
Haringey 012B,E01002077,686,31,38,93,462,45,13,0
Haringey 012C,E01002079,539,61,68,336,29,43,0,0
Haringey 012D,E01002081,615,41,33,120,375,29,17,0
Haringey 013A,E01002082,568,50,53,114,318,18,0,0
Haringey 013B,E01002086,605,25,45,209,204,97,1,0
Haringey 013C,E01002088,688,43,52,306,146,129,12,0
Haringey 013D,E01002089,644,6,15,23,574,1,0,0
Haringey 014A,E01001967,633,10,90,243,24,260,1,0
Haringey 014B,E01001968,778,15,83,140,134,359,2,0
Haringey 014C,E01001996,698,24,109,139,329,89,4,0
Haringey 014D,E01001997,730,9,69,81,214,217,84,0
Haringey 015A,E01002075,595,53,73,166,184,115,0,0
Haringey 015B,E01002076,639,59,85,366,83,42,2,0
Haringey 015C,E01002078,951,30,32,96,769,17,2,5
Haringey 015D,E01002080,510,45,73,276,65,43,4,0
Haringey 016A,E01002026,711,43,32,121,462,16,26,1
Haringey 016B,E01002029,740,18,47,94,458,87,31,0
Haringey 016C,E01002030,658,43,64,209,144,190,2,0
Haringey 016D,E01002031,764,33,55,197,166,230,33,0
Haringey 017A,E01001991,766,10,54,21,252,347,17,1
Haringey 017B,E01001992,672,79,246,93,185,52,6,0
Haringey 017C,E01001993,609,27,156,337,8,62,0,0
Haringey 017D,E01001995,898,39,146,474,217,20,2,0
Haringey 018A,E01001980,673,37,69,286,70,191,4,0
Haringey 018B,E01001981,601,45,66,316,60,93,5,0
Haringey 018C,E01001982,676,34,46,264,91,228,7,0
Haringey 018D,E01001983,612,27,55,320,37,147,10,0
Haringey 019A,E01002083,543,30,40,275,60,125,7,0
Haringey 019B,E01002084,619,29,68,250,111,145,15,1
Haringey 019C,E01002085,821,36,54,268,216,217,11,0
Haringey 019D,E01002087,714,19,61,171,142,278,23,0
Haringey 020B,E01002014,797,10,14,113,141,444,22,1
Haringey 020C,E01002015,668,10,41,260,268,74,10,0
Haringey 020D,E01002018,602,10,52,270,177,86,1,0
Haringey 020E,E01033085,908,12,20,58,729,54,29,0
Haringey 020F,E01033086,488,12,14,52,392,14,0,0
Haringey 021A,E01002020,706,16,96,159,246,151,25,0
Haringey 021B,E01002022,867,7,52,104,181,293,105,0
Haringey 021C,E01002023,609,24,124,150,108,186,4,0
Haringey 021D,E01002025,670,34,151,156,55,244,0,0
Haringey 022A,E01002013,595,12,32,247,109,182,10,1
Haringey 022B,E01002019,503,14,94,270,43,78,1,0
Haringey 022C,E01002021,603,8,68,297,74,137,0,0
Haringey 022D,E01002024,534,12,46,211,154,99,5,0
Haringey 023A,E01001998,865,20,124,148,107,383,1,0
Haringey 023B,E01001999,819,19,47,252,107,303,62,0
Haringey 023C,E01002003,929,21,44,141,364,234,98,0
Haringey 023D,E01002004,710,27,46,330,63,228,2,2
Haringey 024A,E01002067,700,43,104,199,240,93,12,1
Haringey 024B,E01002069,880,32,62,220,291,185,65,1
Haringey 024C,E01002070,789,56,90,370,133,119,12,4
Haringey 024D,E01002073,681,44,54,225,262,75,14,2
Haringey 025A,E01002066,781,20,29,86,601,30,9,0
Haringey 025B,E01002068,739,39,66,242,179,154,33,0
Haringey 025C,E01002071,675,19,45,79,438,73,8,3
Haringey 025D,E01002072,680,29,57,173,260,149,4,0
Haringey 026A,E01002043,742,56,49,211,166,212,15,1
Haringey 026B,E01002045,803,45,40,192,446,78,2,0
Haringey 026C,E01002046,676,32,60,204,309,63,5,1
Haringey 026D,E01002049,705,38,55,276,246,74,2,0
Haringey 027A,E01002042,541,18,47,273,100,93,6,0
Haringey 027B,E01002044,693,12,25,217,174,187,55,0
Haringey 027C,E01002047,592,19,29,239,114,130,50,0
Haringey 027D,E01002048,690,22,47,275,185,130,9,0
Haringey 028A,E01002016,864,6,22,197,189,404,35,0
Haringey 028B,E01002017,751,5,49,145,158,341,23,0
Haringey 028C,E01002059,710,15,31,162,230,237,4,0
Haringey 028D,E01002060,763,9,44,203,55,444,4,0
Haringey 029A,E01002050,467,45,46,302,16,51,5,0
Haringey 029B,E01002051,667,43,75,174,191,150,17,0
Haringey 029C,E01002052,526,38,69,270,125,20,2,0
Haringey 029D,E01002055,456,27,66,239,54,57,1,0
Haringey 030A,E01001994,760,95,164,41,336,88,16,0
Haringey 030B,E01002008,643,156,40,113,222,104,8,0
Haringey 030C,E01002010,718,81,85,264,190,91,5,0
Haringey 030D,E01002011,761,28,92,53,323,202,23,0
Haringey 031A,E01002000,690,25,26,230,58,327,2,1
Haringey 031B,E01002001,677,9,51,187,45,335,5,2
Haringey 031C,E01002002,781,18,35,161,175,299,52,1
Haringey 031D,E01002058,681,19,38,199,179,217,3,0
Haringey 032A,E01002053,663,27,43,159,259,165,0,0
Haringey 032B,E01002054,697,14,9,48,543,34,26,0
Haringey 032C,E01002056,841,31,29,136,451,160,32,0
Haringey 032D,E01002057,557,35,45,242,130,75,13,2
Haringey 033A,E01001984,867,28,35,47,641,109,3,0
Haringey 033B,E01001985,769,16,50,107,158,428,1,0
Haringey 033C,E01001987,805,30,139,132,254,234,2,0
Haringey 033D,E01001989,766,22,71,192,283,169,9,0
Haringey 034A,E01001986,744,17,64,172,146,332,1,0
Haringey 034B,E01001988,881,11,58,87,249,402,4,0
Haringey 034C,E01001990,982,5,35,106,193,375,225,0
Haringey 034D,E01002062,855,21,37,140,225,393,14,0
Haringey 035A,E01002005,818,10,22,125,119,451,50,0
Haringey 035B,E01002006,808,3,26,103,347,288,4,0
Haringey 035C,E01002007,799,28,84,120,215,273,37,0
Haringey 035D,E01002009,708,34,106,111,153,223,37,0
Haringey 036A,E01002061,703,6,37,149,54,427,8,0
Haringey 036B,E01002063,713,6,35,102,171,364,1,0
Haringey 036C,E01002064,648,2,28,81,248,258,9,0
Haringey 036D,E01002065,815,4,21,137,90,519,23,0
Haringey 037A,E01002034,811,8,35,48,596,49,60,0
Haringey 037B,E01002038,692,20,39,77,362,116,37,2
Haringey 037C,E01002041,736,48,97,244,241,80,3,0
Haringey 037D,E01032575,672,38,66,148,355,48,7,0
Islington 001A,E01002755,635,11,27,31,429,131,3,0
Islington 001B,E01002756,610,5,32,82,192,278,3,1
Islington 001C,E01002758,709,4,7,16,566,70,28,0
Islington 001D,E01002804,754,10,34,62,395,213,35,0
Islington 001E,E01002807,824,10,14,69,566,123,17,1
Islington 001F,E01002811,694,10,38,92,417,129,1,0
Islington 002A,E01002753,626,12,8,136,287,164,1,0
Islington 002B,E01002754,614,12,26,192,184,192,0,0
Islington 002C,E01002757,590,3,15,137,304,114,9,0
Islington 002D,E01002759,659,11,37,275,70,249,2,0
Islington 002E,E01002760,626,7,19,87,482,29,2,0
Islington 002F,E01002772,871,6,19,142,482,172,29,0
Islington 003A,E01002735,777,9,20,100,193,377,53,1
Islington 003B,E01002805,758,10,20,73,207,364,77,0
Islington 003C,E01002806,721,9,21,266,132,267,2,0
Islington 003D,E01002808,857,17,33,151,338,273,32,0
Islington 003E,E01002809,700,10,30,187,158,269,25,1
Islington 003F,E01002810,748,15,23,121,233,313,16,0
Islington 004A,E01002768,851,6,9,74,538,192,7,0
Islington 004B,E01002770,718,4,21,129,314,170,55,1
Islington 004C,E01002771,659,9,36,111,206,260,21,0
Islington 004D,E01002773,696,11,13,32,612,23,2,3
Islington 004E,E01002774,1005,11,28,123,425,374,18,0
Islington 005A,E01002732,821,16,31,111,383,252,21,0
Islington 005B,E01002734,696,9,6,32,487,78,58,1
Islington 005C,E01002736,595,10,22,54,484,23,0,0
Islington 005D,E01002737,788,16,15,69,507,150,11,0
Islington 005E,E01002751,880,5,16,56,614,166,8,0
Islington 006A,E01002742,675,9,12,261,85,266,39,0
Islington 006B,E01002747,675,11,30,309,130,136,50,0
Islington 006C,E01002748,667,15,14,144,291,139,35,1
Islington 006D,E01002749,534,6,10,152,280,75,11,0
Islington 006F,E01033493,701,2,2,23,657,16,1,0
Islington 006G,E01033494,630,10,20,268,127,202,0,0
Islington 007A,E01002730,812,6,27,171,168,332,56,0
Islington 007B,E01002731,1164,19,17,132,699,212,59,0
Islington 007C,E01002733,598,9,8,173,239,155,6,0
Islington 007D,E01002763,603,9,29,93,373,75,13,0
Islington 008A,E01002769,847,8,43,197,250,323,1,0
Islington 008B,E01002785,840,6,77,208,164,334,2,1
Islington 008C,E01002788,916,12,23,108,129,554,6,0
Islington 008D,E01002789,810,7,56,210,61,450,0,0
Islington 009A,E01002738,839,20,57,103,412,229,2,1
Islington 009B,E01002741,656,5,6,37,583,20,3,0
Islington 009C,E01002743,726,6,14,100,265,326,4,0
Islington 009D,E01002744,722,13,30,82,334,238,11,0
Islington 009E,E01002752,651,5,17,81,301,232,3,0
Islington 010A,E01002764,796,14,49,62,457,196,1,2
Islington 010B,E01002783,718,7,13,20,496,165,8,0
Islington 010C,E01002784,732,8,12,91,506,106,1,0
Islington 010D,E01002786,828,6,20,38,546,176,11,1
Islington 010E,E01002787,578,3,13,24,465,66,5,0
Islington 011C,E01002762,889,12,54,57,189,549,4,0
Islington 011D,E01002767,982,23,29,87,757,79,1,0
Islington 011E,E01033486,425,2,10,45,304,45,17,0
Islington 011F,E01033487,595,0,2,9,568,12,0,0
Islington 011G,E01033488,557,1,10,21,448,47,5,0
Islington 011H,E01033491,869,11,8,75,378,326,54,0
Islington 011I,E01033492,687,2,6,39,518,108,2,0
Islington 012A,E01002777,833,9,22,102,250,399,13,0
Islington 012B,E01002778,743,6,13,43,581,74,19,0
Islington 012C,E01002779,820,8,22,111,255,362,44,0
Islington 012D,E01002781,598,5,22,27,379,150,0,2
Islington 012E,E01002782,616,8,10,59,460,53,3,0
Islington 013A,E01002739,816,6,28,305,205,249,13,0
Islington 013B,E01002740,806,11,28,251,215,260,34,0
Islington 013C,E01002745,681,10,52,94,185,311,17,0
Islington 013D,E01002795,863,21,61,89,489,151,45,0
Islington 013E,E01002796,496,7,16,136,101,225,4,0
Islington 014A,E01002716,1079,12,35,88,724,182,22,0
Islington 014B,E01002718,799,7,48,124,123,453,8,0
Islington 014C,E01002721,839,6,16,79,224,508,3,0
Islington 014D,E01002775,683,7,31,76,199,355,12,0
Islington 014E,E01002776,774,8,33,142,387,187,11,0
Islington 014F,E01002780,763,11,13,113,121,502,2,1
Islington 015A,E01002708,917,12,29,92,678,65,6,0
Islington 015B,E01002712,535,7,39,101,193,160,25,0
Islington 015C,E01002713,820,21,34,183,549,18,10,0
Islington 015D,E01002765,980,13,35,152,646,96,3,2
Islington 015E,E01002766,811,12,19,65,668,29,10,0
Islington 016A,E01002717,590,2,95,48,396,48,1,0
Islington 016B,E01002719,737,9,55,126,423,116,3,0
Islington 016C,E01002720,993,19,29,69,788,66,10,0
Islington 016D,E01002790,706,7,14,55,542,57,16,0
Islington 016E,E01002791,762,4,19,152,381,171,29,1
Islington 016F,E01002793,957,6,8,54,771,89,26,0
Islington 017A,E01002698,1056,12,42,107,543,340,4,0
Islington 017B,E01002699,775,10,25,205,313,208,14,0
Islington 017C,E01002700,640,18,52,285,63,202,5,0
Islington 017D,E01002714,771,8,24,171,93,415,50,0
Islington 017E,E01002792,877,7,20,157,235,408,26,0
Islington 018A,E01002722,668,17,45,68,370,164,1,0
Islington 018B,E01002797,872,9,28,77,642,90,15,0
Islington 018C,E01002798,922,13,31,400,273,188,17,0
Islington 018D,E01002799,880,4,7,74,707,60,11,2
Islington 018E,E01002800,435,2,3,33,381,10,0,0
Islington 019A,E01002694,669,6,7,31,551,65,4,0
Islington 019B,E01002697,709,7,1,17,651,17,5,3
Islington 019C,E01002709,751,16,29,101,583,16,2,1
Islington 019D,E01002710,679,12,20,99,465,73,7,0
Islington 019E,E01002715,682,2,2,17,583,44,20,0
Islington 020A,E01002696,895,14,23,207,289,313,27,0
Islington 020B,E01002794,862,11,24,225,351,159,88,0
Islington 020C,E01002801,806,7,17,258,238,262,18,0
Islington 020D,E01002802,706,6,23,232,196,230,15,0
Islington 020E,E01002803,935,8,29,224,477,154,25,0
Islington 021A,E01002695,795,0,6,16,629,59,74,0
Islington 021B,E01002711,963,5,13,79,602,166,62,27
Islington 021C,E01002727,871,5,5,48,483,289,23,1
Islington 021D,E01002728,509,8,3,20,372,93,9,0
Islington 021E,E01002729,702,5,25,138,154,375,5,0
Islington 022B,E01002707,901,5,8,43,727,86,19,1
Islington 022C,E01002723,781,4,4,53,632,47,22,0
Islington 022D,E01002724,1025,3,6,48,767,108,77,1
Islington 022E,E01002725,572,6,2,34,475,50,2,1
Islington 022F,E01002726,825,9,4,46,600,125,38,0
Islington 022G,E01033489,776,0,4,17,639,40,73,0
Islington 022H,E01033490,703,3,4,10,593,32,51,0
Islington 023A,E01002701,718,1,3,4,678,20,6,0
Islington 023B,E01002702,870,2,5,1,794,38,15,0
Islington 023C,E01002703,774,2,6,5,715,14,17,0
Islington 023D,E01002704,1035,2,2,6,929,51,38,0
Islington 023E,E01002706,925,6,7,11,802,49,40,0
Kensington and Chelsea 001A,E01002852,861,6,9,12,776,11,25,11
Kensington and Chelsea 001B,E01002853,470,3,7,17,372,57,12,0
Kensington and Chelsea 001C,E01002854,488,5,8,28,416,10,14,0
Kensington and Chelsea 001D,E01002855,764,9,27,80,493,98,53,1
Kensington and Chelsea 001E,E01002857,580,5,7,5,538,9,0,0
Kensington and Chelsea 002A,E01002904,524,10,11,63,425,8,1,0
Kensington and Chelsea 002B,E01002905,672,13,15,69,389,173,4,0
Kensington and Chelsea 002C,E01002906,707,13,50,106,431,98,6,0
Kensington and Chelsea 002D,E01002907,551,1,7,10,500,26,2,0
Kensington and Chelsea 003A,E01002876,744,10,63,237,141,267,11,2
Kensington and Chelsea 003B,E01002877,647,8,23,68,441,86,1,6
Kensington and Chelsea 003C,E01002878,868,10,23,35,389,389,4,3
Kensington and Chelsea 003D,E01002908,602,15,38,154,177,170,14,2
Kensington and Chelsea 003E,E01002909,1152,24,28,49,246,708,1,1
Kensington and Chelsea 004A,E01002829,788,4,8,73,233,415,11,0
Kensington and Chelsea 004B,E01002830,917,7,4,59,487,318,22,0
Kensington and Chelsea 004C,E01002831,961,6,21,91,410,374,42,2
Kensington and Chelsea 004D,E01002832,910,5,10,45,416,346,42,0
Kensington and Chelsea 004E,E01002856,941,6,9,97,208,501,39,0
Kensington and Chelsea 005A,E01002870,693,5,20,67,531,53,17,0
Kensington and Chelsea 005B,E01002872,726,9,31,118,487,72,1,0
Kensington and Chelsea 005C,E01002879,695,5,16,34,541,94,5,0
Kensington and Chelsea 005D,E01002880,653,0,5,7,614,9,6,1
Kensington and Chelsea 005E,E01002881,544,8,17,86,379,48,0,1
Kensington and Chelsea 006A,E01002882,703,7,20,57,261,331,25,0
Kensington and Chelsea 006B,E01002883,802,10,36,165,411,135,15,0
Kensington and Chelsea 006C,E01002884,710,15,19,43,269,289,23,1
Kensington and Chelsea 006D,E01002885,950,1,15,41,338,294,36,1
Kensington and Chelsea 006E,E01002886,781,40,62,131,237,240,33,0
Kensington and Chelsea 007A,E01002833,793,2,6,66,207,441,44,0
Kensington and Chelsea 007B,E01002871,742,20,43,309,138,195,28,0
Kensington and Chelsea 007C,E01002873,632,6,81,208,135,191,9,0
Kensington and Chelsea 007D,E01002874,648,5,17,117,169,314,3,0
Kensington and Chelsea 007E,E01002875,681,10,91,75,238,259,4,1
Kensington and Chelsea 008A,E01002824,684,9,23,116,197,307,4,0
Kensington and Chelsea 008B,E01002825,827,10,27,63,604,105,14,1
Kensington and Chelsea 008C,E01002826,798,6,20,100,504,108,47,1
Kensington and Chelsea 008D,E01002827,903,24,50,324,277,190,28,0
Kensington and Chelsea 008E,E01002828,710,17,27,201,322,109,22,0
Kensington and Chelsea 009A,E01002864,580,23,39,74,381,58,1,0
Kensington and Chelsea 009B,E01002866,848,39,11,56,197,448,11,0
Kensington and Chelsea 009C,E01002867,998,9,16,68,549,270,13,0
Kensington and Chelsea 009D,E01002868,725,33,59,224,131,244,5,0
Kensington and Chelsea 009E,E01002869,768,8,15,67,277,361,6,0
Kensington and Chelsea 010A,E01002887,807,7,16,60,321,274,14,0
Kensington and Chelsea 010B,E01002889,579,2,3,35,405,115,13,0
Kensington and Chelsea 010C,E01002890,705,27,135,198,252,78,11,1
Kensington and Chelsea 010D,E01002891,718,14,28,70,424,158,5,0
Kensington and Chelsea 010E,E01002892,920,4,15,62,401,373,13,0
Kensington and Chelsea 011A,E01002813,835,10,59,283,159,264,21,1
Kensington and Chelsea 011B,E01002815,755,4,7,47,569,100,7,0
Kensington and Chelsea 011C,E01002816,693,6,10,51,410,101,11,0
Kensington and Chelsea 011D,E01002817,709,22,65,191,325,86,13,0
Kensington and Chelsea 011E,E01002865,544,24,65,91,269,87,8,0
Kensington and Chelsea 012A,E01002818,1170,8,8,59,736,236,24,0
Kensington and Chelsea 012B,E01002819,853,13,30,178,349,213,26,0
Kensington and Chelsea 012C,E01002859,866,7,11,54,525,215,15,0
Kensington and Chelsea 012D,E01002860,777,14,29,307,284,118,21,0
Kensington and Chelsea 012E,E01002863,792,16,23,124,449,176,2,0
Kensington and Chelsea 013A,E01002812,895,5,7,43,533,214,2,2
Kensington and Chelsea 013B,E01002834,718,6,11,24,411,177,3,1
Kensington and Chelsea 013C,E01002839,978,3,9,34,518,313,4,1
Kensington and Chelsea 013D,E01002850,682,8,18,123,293,161,47,0
Kensington and Chelsea 013E,E01002888,1149,0,9,29,748,300,9,0
Kensington and Chelsea 014A,E01002821,692,12,11,148,345,137,31,1
Kensington and Chelsea 014B,E01002823,701,7,7,90,558,35,4,0
Kensington and Chelsea 014C,E01002858,749,6,0,6,718,7,11,1
Kensington and Chelsea 014D,E01002861,771,2,32,203,409,72,17,1
Kensington and Chelsea 014E,E01002862,977,5,6,15,894,7,48,2
Kensington and Chelsea 015A,E01002814,905,11,18,30,722,87,17,0
Kensington and Chelsea 015B,E01002847,872,4,0,22,405,304,6,0
Kensington and Chelsea 015C,E01002848,894,6,5,10,359,371,4,0
Kensington and Chelsea 015D,E01002851,918,8,3,28,457,330,15,0
Kensington and Chelsea 016A,E01002820,666,6,11,52,329,175,25,0
Kensington and Chelsea 016B,E01002822,621,6,19,80,259,169,10,0
Kensington and Chelsea 016C,E01002835,784,11,31,139,321,245,15,0
Kensington and Chelsea 016D,E01002836,795,7,4,20,290,383,9,0
Kensington and Chelsea 016E,E01002837,717,4,22,109,333,170,3,0
Kensington and Chelsea 017A,E01002846,781,3,6,27,339,323,18,0
Kensington and Chelsea 017B,E01002849,787,1,3,14,507,212,16,0
Kensington and Chelsea 017C,E01002893,987,5,1,36,368,522,4,0
Kensington and Chelsea 017D,E01002894,773,7,7,43,326,338,24,0
Kensington and Chelsea 017E,E01002898,739,17,22,47,372,270,7,0
Kensington and Chelsea 018A,E01002899,768,2,13,51,606,71,20,0
Kensington and Chelsea 018B,E01002900,682,16,38,169,280,173,1,1
Kensington and Chelsea 018C,E01002901,560,12,19,52,321,138,4,0
Kensington and Chelsea 018D,E01002902,1009,0,9,34,743,184,25,0
Kensington and Chelsea 018E,E01002903,691,12,21,402,88,149,11,0
Kensington and Chelsea 019A,E01002844,745,11,42,163,372,108,24,0
Kensington and Chelsea 019B,E01002845,738,2,21,83,536,70,3,2
Kensington and Chelsea 019C,E01002910,756,21,64,69,473,108,15,0
Kensington and Chelsea 019D,E01002911,767,21,74,198,222,211,39,0
Kensington and Chelsea 019E,E01002914,741,17,53,262,324,63,22,0
Kensington and Chelsea 020A,E01002838,579,2,16,89,266,166,12,0
Kensington and Chelsea 020B,E01002895,610,22,55,202,199,101,29,0
Kensington and Chelsea 020C,E01002896,875,3,50,90,249,447,11,0
Kensington and Chelsea 020D,E01002897,732,8,10,123,244,311,10,0
Kensington and Chelsea 020E,E01002912,809,13,44,90,553,84,20,0
Kensington and Chelsea 021A,E01002840,691,11,13,25,564,25,9,36
Kensington and Chelsea 021B,E01002841,712,9,32,133,195,318,11,1
Kensington and Chelsea 021C,E01002842,514,0,3,2,495,8,1,0
Kensington and Chelsea 021D,E01002843,610,8,4,13,512,58,12,0
Kensington and Chelsea 021E,E01002913,932,8,47,133,471,257,7,2
Lambeth 002A,E01003015,730,4,13,57,604,38,4,0
Lambeth 002B,E01003108,755,6,23,22,665,23,4,0
Lambeth 002C,E01003110,849,9,29,330,336,126,15,1
Lambeth 002D,E01003111,638,1,5,7,599,9,1,0
Lambeth 002E,E01003112,771,6,10,59,662,23,3,0
Lambeth 003A,E01003101,685,0,7,19,562,73,19,0
Lambeth 003B,E01003105,780,4,4,38,692,30,0,1
Lambeth 003C,E01003106,911,7,15,143,635,98,6,0
Lambeth 003D,E01003107,929,5,23,204,485,187,25,0
Lambeth 003E,E01003109,1093,10,6,27,988,25,18,0
Lambeth 004A,E01003102,844,12,26,103,414,243,11,0
Lambeth 004C,E01003104,777,6,14,81,320,275,7,0
Lambeth 004D,E01003122,870,19,23,100,562,143,17,0
Lambeth 004E,E01003129,808,12,16,132,324,260,14,0
Lambeth 004F,E01033207,766,13,25,118,501,85,9,0
Lambeth 004G,E01033208,1018,3,0,4,982,8,8,1
Lambeth 005A,E01003098,645,6,19,155,293,158,1,0
Lambeth 005B,E01003099,666,8,11,53,495,67,26,0
Lambeth 005C,E01003100,878,2,8,88,239,500,32,0
Lambeth 005D,E01003180,662,16,48,189,333,65,1,0
Lambeth 005E,E01003183,631,24,53,157,232,165,0,0
Lambeth 006A,E01003097,724,10,18,94,585,5,2,0
Lambeth 006B,E01003121,691,1,1,7,660,2,3,0
Lambeth 006C,E01003123,683,20,64,132,276,171,11,0
Lambeth 006D,E01003124,619,8,17,61,362,102,1,0
Lambeth 006E,E01003125,692,6,6,6,642,15,1,0
Lambeth 007A,E01003181,644,15,23,61,462,81,2,0
Lambeth 007B,E01003184,586,4,3,12,543,4,4,1
Lambeth 007C,E01003185,768,6,20,29,492,203,3,0
Lambeth 007D,E01003186,876,28,82,71,438,228,13,0
Lambeth 007E,E01003187,626,24,52,97,379,43,2,2
Lambeth 008A,E01003089,689,6,12,11,583,33,22,0
Lambeth 008B,E01003091,668,7,9,50,468,110,0,0
Lambeth 008C,E01003092,717,14,28,51,552,48,7,0
Lambeth 008D,E01003126,645,4,22,13,528,59,7,0
Lambeth 008E,E01003128,664,5,2,8,583,37,3,0
Lambeth 009A,E01003046,743,4,10,33,594,45,2,0
Lambeth 009B,E01003048,741,16,16,26,636,25,3,0
Lambeth 009C,E01003075,685,1,14,34,613,16,1,0
Lambeth 009D,E01003182,720,25,45,112,264,246,3,0
Lambeth 009E,E01003188,554,20,49,135,249,91,4,0
Lambeth 010A,E01003088,737,17,12,148,407,127,16,1
Lambeth 010B,E01003093,949,3,8,17,894,10,8,0
Lambeth 010C,E01003094,675,13,26,164,285,165,2,0
Lambeth 010D,E01003096,926,23,33,197,183,425,23,0
Lambeth 010E,E01003127,755,29,64,85,373,164,10,0
Lambeth 011A,E01003045,728,31,53,70,494,66,7,0
Lambeth 011B,E01003047,751,12,17,50,557,68,29,0
Lambeth 011C,E01003049,668,18,34,86,415,102,3,0
Lambeth 011D,E01003059,625,7,9,13,554,21,13,0
Lambeth 011E,E01003060,632,8,6,19,567,7,8,0
Lambeth 011F,E01003061,568,7,9,53,294,139,14,0
Lambeth 012A,E01003034,723,15,29,149,338,165,8,0
Lambeth 012B,E01003035,710,6,28,118,325,194,31,0
Lambeth 012C,E01003036,737,19,51,206,237,217,5,0
Lambeth 012D,E01003090,1043,15,16,78,472,399,35,0
Lambeth 012E,E01003095,760,15,107,83,218,316,1,0
Lambeth 013A,E01003037,606,12,61,155,320,44,13,1
Lambeth 013B,E01003038,689,16,41,230,157,233,12,0
Lambeth 013C,E01003039,945,10,38,178,447,230,40,0
Lambeth 013D,E01003040,594,9,40,61,260,217,3,0
Lambeth 013E,E01003042,502,7,9,29,387,60,1,0
Lambeth 014A,E01003072,769,42,190,112,226,186,0,0
Lambeth 014B,E01003073,698,33,39,262,125,222,5,2
Lambeth 014C,E01003076,836,11,29,132,350,263,15,1
Lambeth 014D,E01003077,786,9,27,170,191,360,7,0
Lambeth 014E,E01003078,634,48,155,194,133,98,4,0
Lambeth 015A,E01003019,914,12,44,288,235,304,13,0
Lambeth 015B,E01003053,757,13,21,271,149,249,7,0
Lambeth 015C,E01003054,819,6,14,100,212,464,6,0
